
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.membus.pkt_size_system.cpu.dcache.mem_side_port::system.bridge.cpu_side_port        65977                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dcache.mem_side_port::system.cpu.interrupts.pio      2425968                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dcache.mem_side_port::system.mem_ctrls0.port    184094336                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dcache.mem_side_port::system.mem_ctrls1.port    376082176                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dcache.mem_side_port::total    562668457                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.itb_walker_cache.mem_side_port::system.mem_ctrls0.port       410368                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.itb_walker_cache.mem_side_port::system.mem_ctrls1.port      9245184                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.itb_walker_cache.mem_side_port::total      9655552                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dtb_walker_cache.mem_side_port::system.mem_ctrls0.port      5908224                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dtb_walker_cache.mem_side_port::system.mem_ctrls1.port    245833408                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size_system.cpu.dtb_walker_cache.mem_side_port::total    251741632                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.pkt_size::total              9190520873                       # Cumulative packet size per connected requestor and responder (bytes)
system.membus.snoops                            53047                       # Total snoops (count)
system.membus.snoopTraffic                    3395008                       # Total snoop traffic (bytes)
system.membus.snoop_fanout::samples          74858535                       # Request fanout histogram
system.membus.snoop_fanout::mean             0.021031                       # Request fanout histogram
system.membus.snoop_fanout::stdev            0.152492                       # Request fanout histogram
system.membus.snoop_fanout::underflows              0      0.00%      0.00% # Request fanout histogram
system.membus.snoop_fanout::0                73383948     98.03%     98.03% # Request fanout histogram
system.membus.snoop_fanout::1                 1374831      1.84%     99.87% # Request fanout histogram
system.membus.snoop_fanout::2                   99756      0.13%    100.00% # Request fanout histogram
system.membus.snoop_fanout::3                       0      0.00%    100.00% # Request fanout histogram
system.membus.snoop_fanout::4                       0      0.00%    100.00% # Request fanout histogram
system.membus.snoop_fanout::5                       0      0.00%    100.00% # Request fanout histogram
system.membus.snoop_fanout::overflows               0      0.00%    100.00% # Request fanout histogram
system.membus.snoop_fanout::min_value               0                       # Request fanout histogram
system.membus.snoop_fanout::max_value               2                       # Request fanout histogram
system.membus.snoop_fanout::total            74858535                       # Request fanout histogram
system.membus.badaddr_responder.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.membus.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.membus.reqLayer0.occupancy           101490500                       # Layer occupancy (ticks)
system.membus.reqLayer0.utilization               0.0                       # Layer utilization (%)
system.membus.reqLayer1.occupancy          1213656499                       # Layer occupancy (ticks)
system.membus.reqLayer1.utilization               0.0                       # Layer utilization (%)
system.membus.reqLayer2.occupancy             8679542                       # Layer occupancy (ticks)
system.membus.reqLayer2.utilization               0.0                       # Layer utilization (%)
system.membus.reqLayer3.occupancy        408754525879                       # Layer occupancy (ticks)
system.membus.reqLayer3.utilization               0.0                       # Layer utilization (%)
system.membus.reqLayer4.occupancy         27130866442                       # Layer occupancy (ticks)
system.membus.reqLayer4.utilization               0.0                       # Layer utilization (%)
system.membus.respLayer0.occupancy            5111542                       # Layer occupancy (ticks)
system.membus.respLayer0.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer2.occupancy           18053266                       # Layer occupancy (ticks)
system.membus.respLayer2.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer3.occupancy       341893453698                       # Layer occupancy (ticks)
system.membus.respLayer3.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer4.occupancy        25207325036                       # Layer occupancy (ticks)
system.membus.respLayer4.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer5.occupancy          856318750                       # Layer occupancy (ticks)
system.membus.respLayer5.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer6.occupancy        21514110734                       # Layer occupancy (ticks)
system.membus.respLayer6.utilization              0.0                       # Layer utilization (%)
system.membus.snoop_filter.totRequests      148353380                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.hitSingleRequests     74069118                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hitMultiRequests      1574096                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.totSnoops                0                       # Total number of snoops made to the snoop filter.
system.membus.snoop_filter.hitSingleSnoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.pc.bad_addr.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.com_1.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.default_bus.trans_dist::ReadReq            1                       # Transaction distribution
system.pc.default_bus.trans_dist::ReadResp            1                       # Transaction distribution
system.pc.default_bus.trans_dist::WriteReq            7                       # Transaction distribution
system.pc.default_bus.trans_dist::WriteResp            7                       # Transaction distribution
system.pc.default_bus.pkt_count_system.iobus.default::system.pc.empty_isa.pio           16                       # Packet count per connected requestor and responder (bytes)
system.pc.default_bus.pkt_count_system.iobus.default::total           16                       # Packet count per connected requestor and responder (bytes)
system.pc.default_bus.pkt_size_system.iobus.default::system.pc.empty_isa.pio            8                       # Cumulative packet size per connected requestor and responder (bytes)
system.pc.default_bus.pkt_size_system.iobus.default::total            8                       # Cumulative packet size per connected requestor and responder (bytes)
system.pc.default_bus.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.default_bus.reqLayer0.occupancy        18000                       # Layer occupancy (ticks)
system.pc.default_bus.reqLayer0.utilization          0.0                       # Layer utilization (%)
system.pc.default_bus.respLayer0.occupancy        12000                       # Layer occupancy (ticks)
system.pc.default_bus.respLayer0.utilization          0.0                       # Layer utilization (%)
system.pc.empty_isa.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.fake_com_2.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.fake_com_3.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.pc.fake_com_4.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
